YYYY,avg_atmp,avg_wtmp
1987,1.791048133,4.356665167
1988,2.450988832,4.611993951
1989,3.399976396,4.881954444
1990,2.901511404,4.919071173
1991,0.418180137,3.272017755
1992,2.633782684,4.801382917
1993,3.308258706,4.882151741
1994,2.483005288,4.60913631
1995,4.354842454,5.884842454
1996,2.750961538,4.142059553
1997,3.550059368,5.471099501
1998,2.303208032,4.509330231
1999,2.155279503,4.176151656
2000,3.116096886,4.719280277
2001,0.208197674,3.443139535
2002,4.616409715,6.394572334
2003,4.217357454,5.781841081
2004,3.930801688,5.640072984
2005,3.620411664,5.249582619
2006,2.855688485,5.134487519
2007,0.817904151,3.238913264
2008,2.588697648,4.850671256
2009,0.624951419,2.946424407
2010,0.596645046,3.004048311
2011,1.373608247,2.601134021
2012,3.499850006,5.226629745
2013,4.447822036,5.927591428
2014,4.999677979,6.347188506
2015,4.165751544,5.908968199
2016,4.749685606,6.289459243
2017,4.816089109,6.157119283
